loan_id,status,max_severity,anomaly_count,anomaly_codes,reasons,data_warnings
14146974,FLAGGED,HIGH,1,INTEREST_NEAR_ZERO,"[HIGH] total interest of 0.00 is effectively zero for a 135 loan at 25% over 36 months, which should generate roughly 50.62 (payment history)",
36885572,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of 28.3% is 6.3 percentage points above the stated interest rate of 22% (tolerance 5pp, computed from 39 payment cash flows)",
56689556,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of 28.0% is 6.0 percentage points above the stated interest rate of 22% (tolerance 5pp, computed from 49 payment cash flows)",
57949284,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of 37.7% is 15.7 percentage points above the stated interest rate of 22% (tolerance 5pp, computed from 40 payment cash flows)",
73224837,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of 22.7% is 7.7 percentage points above the stated interest rate of 15% (tolerance 5pp, computed from 44 payment cash flows)",
73371141,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of 140.8% is 125.8 percentage points above the stated interest rate of 15% (tolerance 5pp, computed from 36 payment cash flows)",
76669736,FLAGGED,HIGH,1,XIRR_RATE_MISMATCH,"[HIGH] realized XIRR of -12.7% is 30.7 percentage points below the stated interest rate of 18% (tolerance 5pp, computed from 14 payment cash flows)",
13314659,FLAGGED,MEDIUM,1,EMPLOYMENT_CONTRADICTION,"[MEDIUM] employment status is 'unemployed' but an occupation is recorded (""Auklėtojos padejėja / Tutor's helper"") with 0 months at the current employer",payment history truncated at source export limit; XIRR and amortization checks skipped
13616691,NORMAL,NONE,0,,,
13752758,NORMAL,NONE,0,,,
13891862,NORMAL,NONE,0,,,
19972183,NORMAL,NONE,0,,,
25372336,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
26165342,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
26961823,NORMAL,NONE,0,,,
28133318,NORMAL,NONE,0,,,
29492418,NORMAL,NONE,0,,,
32271989,NORMAL,NONE,0,,,
32742879,NORMAL,NONE,0,,,
33817222,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
34699374,NORMAL,NONE,0,,,
35449965,NORMAL,NONE,0,,,
35612451,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
35666371,NORMAL,NONE,0,,,
41222884,NORMAL,NONE,0,,,
41531189,NORMAL,NONE,0,,,
43365273,NORMAL,NONE,0,,,
43986823,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
51117775,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
51247328,NORMAL,NONE,0,,,
53788773,NORMAL,NONE,0,,,
56595445,NORMAL,NONE,0,,,
56721442,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
57248583,NORMAL,NONE,0,,,
57496522,NORMAL,NONE,0,,,
58153155,NORMAL,NONE,0,,,
59768427,NORMAL,NONE,0,,,
62778129,NORMAL,NONE,0,,,
64933882,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
66526158,NORMAL,NONE,0,,,
68531246,NORMAL,NONE,0,,,
69683127,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
71317797,NORMAL,NONE,0,,,
72457171,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
74364775,NORMAL,NONE,0,,,
79362712,NORMAL,NONE,0,,,
82251944,NORMAL,NONE,0,,,
82522951,NORMAL,NONE,0,,,
83898441,NORMAL,NONE,0,,,
86642894,NORMAL,NONE,0,,,
87152791,NORMAL,NONE,0,,,
94146169,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
94273288,NORMAL,NONE,0,,,
94863476,NORMAL,NONE,0,,,
94976997,NORMAL,NONE,0,,,
95814762,NORMAL,NONE,0,,,payment history truncated at source export limit; XIRR and amortization checks skipped
96227257,NORMAL,NONE,0,,,
97751227,NORMAL,NONE,0,,,
97987259,NORMAL,NONE,0,,,
99981632,NORMAL,NONE,0,,,
